txName: T2ttC
constraint: 2.23*([[['b','jet','jet']],[['b','jet','jet']]])
[[[5.000000E+02*GeV,4.870670E+02*GeV],[5.000000E+02*GeV,4.870670E+02*GeV]],2.353500E-01*pb],
[[[5.000000E+02*GeV,4.821330E+02*GeV],[5.000000E+02*GeV,4.821330E+02*GeV]],2.223200E-01*pb],
[[[5.000000E+02*GeV,4.772000E+02*GeV],[5.000000E+02*GeV,4.772000E+02*GeV]],2.108200E-01*pb],
[[[5.000000E+02*GeV,4.722670E+02*GeV],[5.000000E+02*GeV,4.722670E+02*GeV]],2.045300E-01*pb],
[[[5.000000E+02*GeV,4.673330E+02*GeV],[5.000000E+02*GeV,4.673330E+02*GeV]],1.980500E-01*pb],
[[[5.000000E+02*GeV,4.624000E+02*GeV],[5.000000E+02*GeV,4.624000E+02*GeV]],1.968800E-01*pb],
[[[5.000000E+02*GeV,4.574670E+02*GeV],[5.000000E+02*GeV,4.574670E+02*GeV]],2.003900E-01*pb],
[[[5.000000E+02*GeV,4.525330E+02*GeV],[5.000000E+02*GeV,4.525330E+02*GeV]],2.122700E-01*pb],
[[[5.000000E+02*GeV,4.476000E+02*GeV],[5.000000E+02*GeV,4.476000E+02*GeV]],2.177800E-01*pb],
[[[5.000000E+02*GeV,4.426670E+02*GeV],[5.000000E+02*GeV,4.426670E+02*GeV]],2.238600E-01*pb],
[[[5.000000E+02*GeV,4.377330E+02*GeV],[5.000000E+02*GeV,4.377330E+02*GeV]],2.418500E-01*pb],
[[[5.000000E+02*GeV,4.328000E+02*GeV],[5.000000E+02*GeV,4.328000E+02*GeV]],2.670600E-01*pb],
[[[5.000000E+02*GeV,4.278670E+02*GeV],[5.000000E+02*GeV,4.278670E+02*GeV]],2.839700E-01*pb],
[[[5.000000E+02*GeV,4.229330E+02*GeV],[5.000000E+02*GeV,4.229330E+02*GeV]],3.221200E-01*pb],
[[[5.125000E+02*GeV,5.125000E+02*GeV],[5.125000E+02*GeV,5.125000E+02*GeV]],2.265700E-01*pb],
[[[5.125000E+02*GeV,4.995670E+02*GeV],[5.125000E+02*GeV,4.995670E+02*GeV]],2.265700E-01*pb],
[[[5.125000E+02*GeV,4.946330E+02*GeV],[5.125000E+02*GeV,4.946330E+02*GeV]],2.208500E-01*pb],
[[[5.125000E+02*GeV,4.897000E+02*GeV],[5.125000E+02*GeV,4.897000E+02*GeV]],2.082600E-01*pb],
[[[5.125000E+02*GeV,4.847670E+02*GeV],[5.125000E+02*GeV,4.847670E+02*GeV]],2.018500E-01*pb],
[[[5.125000E+02*GeV,4.798330E+02*GeV],[5.125000E+02*GeV,4.798330E+02*GeV]],1.956100E-01*pb],
[[[5.125000E+02*GeV,4.749000E+02*GeV],[5.125000E+02*GeV,4.749000E+02*GeV]],1.926900E-01*pb],
[[[5.125000E+02*GeV,4.699670E+02*GeV],[5.125000E+02*GeV,4.699670E+02*GeV]],1.917100E-01*pb],
[[[5.125000E+02*GeV,4.650330E+02*GeV],[5.125000E+02*GeV,4.650330E+02*GeV]],2.040700E-01*pb],
[[[5.125000E+02*GeV,4.601000E+02*GeV],[5.125000E+02*GeV,4.601000E+02*GeV]],2.159600E-01*pb],
[[[5.125000E+02*GeV,4.551670E+02*GeV],[5.125000E+02*GeV,4.551670E+02*GeV]],2.248300E-01*pb],
[[[5.125000E+02*GeV,4.502330E+02*GeV],[5.125000E+02*GeV,4.502330E+02*GeV]],2.310100E-01*pb],
[[[5.125000E+02*GeV,4.453000E+02*GeV],[5.125000E+02*GeV,4.453000E+02*GeV]],2.451700E-01*pb],
[[[5.125000E+02*GeV,4.403670E+02*GeV],[5.125000E+02*GeV,4.403670E+02*GeV]],2.701100E-01*pb],
[[[5.125000E+02*GeV,4.354330E+02*GeV],[5.125000E+02*GeV,4.354330E+02*GeV]],3.111900E-01*pb],
[[[5.250000E+02*GeV,5.250000E+02*GeV],[5.250000E+02*GeV,5.250000E+02*GeV]],2.083300E-01*pb],
[[[5.250000E+02*GeV,5.120670E+02*GeV],[5.250000E+02*GeV,5.120670E+02*GeV]],2.083300E-01*pb],
[[[5.250000E+02*GeV,5.071330E+02*GeV],[5.250000E+02*GeV,5.071330E+02*GeV]],2.139500E-01*pb],
[[[5.250000E+02*GeV,5.022000E+02*GeV],[5.250000E+02*GeV,5.022000E+02*GeV]],2.082000E-01*pb],
[[[5.250000E+02*GeV,4.972670E+02*GeV],[5.250000E+02*GeV,4.972670E+02*GeV]],2.016300E-01*pb],
[[[5.250000E+02*GeV,4.923330E+02*GeV],[5.250000E+02*GeV,4.923330E+02*GeV]],1.952800E-01*pb],
[[[5.250000E+02*GeV,4.874000E+02*GeV],[5.250000E+02*GeV,4.874000E+02*GeV]],1.901900E-01*pb],
[[[5.250000E+02*GeV,4.824670E+02*GeV],[5.250000E+02*GeV,4.824670E+02*GeV]],1.875500E-01*pb],
[[[5.250000E+02*GeV,4.775330E+02*GeV],[5.250000E+02*GeV,4.775330E+02*GeV]],2.004600E-01*pb],
[[[5.250000E+02*GeV,4.726000E+02*GeV],[5.250000E+02*GeV,4.726000E+02*GeV]],2.128000E-01*pb],
[[[5.250000E+02*GeV,4.676670E+02*GeV],[5.250000E+02*GeV,4.676670E+02*GeV]],2.243500E-01*pb],
[[[5.250000E+02*GeV,4.627330E+02*GeV],[5.250000E+02*GeV,4.627330E+02*GeV]],2.330800E-01*pb],
[[[5.250000E+02*GeV,4.578000E+02*GeV],[5.250000E+02*GeV,4.578000E+02*GeV]],2.375200E-01*pb],
[[[5.250000E+02*GeV,4.528670E+02*GeV],[5.250000E+02*GeV,4.528670E+02*GeV]],2.521300E-01*pb],
[[[5.250000E+02*GeV,4.479330E+02*GeV],[5.250000E+02*GeV,4.479330E+02*GeV]],2.947500E-01*pb],
[[[5.375000E+02*GeV,5.375000E+02*GeV],[5.375000E+02*GeV,5.375000E+02*GeV]],1.973800E-01*pb],
[[[5.375000E+02*GeV,5.245670E+02*GeV],[5.375000E+02*GeV,5.245670E+02*GeV]],1.973800E-01*pb],
[[[5.375000E+02*GeV,5.196330E+02*GeV],[5.375000E+02*GeV,5.196330E+02*GeV]],1.985500E-01*pb],
[[[5.375000E+02*GeV,5.147000E+02*GeV],[5.375000E+02*GeV,5.147000E+02*GeV]],2.037100E-01*pb],
[[[5.375000E+02*GeV,5.097670E+02*GeV],[5.375000E+02*GeV,5.097670E+02*GeV]],1.991600E-01*pb],
[[[5.375000E+02*GeV,5.048330E+02*GeV],[5.375000E+02*GeV,5.048330E+02*GeV]],1.930400E-01*pb],
[[[5.375000E+02*GeV,4.999000E+02*GeV],[5.375000E+02*GeV,4.999000E+02*GeV]],1.918100E-01*pb],
[[[5.375000E+02*GeV,4.949670E+02*GeV],[5.375000E+02*GeV,4.949670E+02*GeV]],1.868300E-01*pb],
[[[5.375000E+02*GeV,4.900330E+02*GeV],[5.375000E+02*GeV,4.900330E+02*GeV]],1.955500E-01*pb],
[[[5.375000E+02*GeV,4.851000E+02*GeV],[5.375000E+02*GeV,4.851000E+02*GeV]],2.084600E-01*pb],
[[[5.375000E+02*GeV,4.801670E+02*GeV],[5.375000E+02*GeV,4.801670E+02*GeV]],2.170800E-01*pb],
[[[5.375000E+02*GeV,4.752330E+02*GeV],[5.375000E+02*GeV,4.752330E+02*GeV]],2.286300E-01*pb],
[[[5.375000E+02*GeV,4.703000E+02*GeV],[5.375000E+02*GeV,4.703000E+02*GeV]],2.371100E-01*pb],
[[[5.375000E+02*GeV,4.653670E+02*GeV],[5.375000E+02*GeV,4.653670E+02*GeV]],2.414800E-01*pb],
[[[5.375000E+02*GeV,4.604330E+02*GeV],[5.375000E+02*GeV,4.604330E+02*GeV]],2.752600E-01*pb],
[[[5.500000E+02*GeV,5.500000E+02*GeV],[5.500000E+02*GeV,5.500000E+02*GeV]],1.993400E-01*pb],
[[[5.500000E+02*GeV,5.370670E+02*GeV],[5.500000E+02*GeV,5.370670E+02*GeV]],1.993400E-01*pb],
[[[5.500000E+02*GeV,5.321330E+02*GeV],[5.500000E+02*GeV,5.321330E+02*GeV]],1.922300E-01*pb],
[[[5.500000E+02*GeV,5.272000E+02*GeV],[5.500000E+02*GeV,5.272000E+02*GeV]],1.922400E-01*pb],
[[[5.500000E+02*GeV,5.222670E+02*GeV],[5.500000E+02*GeV,5.222670E+02*GeV]],1.910400E-01*pb],
[[[5.500000E+02*GeV,5.173330E+02*GeV],[5.500000E+02*GeV,5.173330E+02*GeV]],1.872500E-01*pb],
[[[5.500000E+02*GeV,5.124000E+02*GeV],[5.500000E+02*GeV,5.124000E+02*GeV]],1.917400E-01*pb],
[[[5.500000E+02*GeV,5.074670E+02*GeV],[5.500000E+02*GeV,5.074670E+02*GeV]],1.911600E-01*pb],
[[[5.500000E+02*GeV,5.025330E+02*GeV],[5.500000E+02*GeV,5.025330E+02*GeV]],1.943300E-01*pb],
[[[5.500000E+02*GeV,4.976000E+02*GeV],[5.500000E+02*GeV,4.976000E+02*GeV]],2.025100E-01*pb],
[[[5.500000E+02*GeV,4.926670E+02*GeV],[5.500000E+02*GeV,4.926670E+02*GeV]],2.075400E-01*pb],
[[[5.500000E+02*GeV,4.877330E+02*GeV],[5.500000E+02*GeV,4.877330E+02*GeV]],2.156900E-01*pb],
[[[5.500000E+02*GeV,4.828000E+02*GeV],[5.500000E+02*GeV,4.828000E+02*GeV]],2.286100E-01*pb],
[[[5.500000E+02*GeV,4.778670E+02*GeV],[5.500000E+02*GeV,4.778670E+02*GeV]],2.376300E-01*pb],
[[[5.500000E+02*GeV,4.729330E+02*GeV],[5.500000E+02*GeV,4.729330E+02*GeV]],2.631900E-01*pb],
[[[5.625000E+02*GeV,5.625000E+02*GeV],[5.625000E+02*GeV,5.625000E+02*GeV]],1.969000E-01*pb],
[[[5.625000E+02*GeV,5.495670E+02*GeV],[5.625000E+02*GeV,5.495670E+02*GeV]],1.969000E-01*pb],
[[[5.625000E+02*GeV,5.446330E+02*GeV],[5.625000E+02*GeV,5.446330E+02*GeV]],1.897900E-01*pb],
[[[5.625000E+02*GeV,5.397000E+02*GeV],[5.625000E+02*GeV,5.397000E+02*GeV]],1.840200E-01*pb],
[[[5.625000E+02*GeV,5.347670E+02*GeV],[5.625000E+02*GeV,5.347670E+02*GeV]],1.835700E-01*pb],
[[[5.625000E+02*GeV,5.298330E+02*GeV],[5.625000E+02*GeV,5.298330E+02*GeV]],1.826100E-01*pb],
[[[5.625000E+02*GeV,5.249000E+02*GeV],[5.625000E+02*GeV,5.249000E+02*GeV]],1.871000E-01*pb],
[[[5.625000E+02*GeV,5.199670E+02*GeV],[5.625000E+02*GeV,5.199670E+02*GeV]],1.858900E-01*pb],
[[[5.625000E+02*GeV,5.150330E+02*GeV],[5.625000E+02*GeV,5.150330E+02*GeV]],1.917100E-01*pb],
[[[5.625000E+02*GeV,5.101000E+02*GeV],[5.625000E+02*GeV,5.101000E+02*GeV]],1.948800E-01*pb],
[[[5.625000E+02*GeV,5.051670E+02*GeV],[5.625000E+02*GeV,5.051670E+02*GeV]],1.997800E-01*pb],
[[[5.625000E+02*GeV,5.002330E+02*GeV],[5.625000E+02*GeV,5.002330E+02*GeV]],2.071900E-01*pb],
[[[5.625000E+02*GeV,4.953000E+02*GeV],[5.625000E+02*GeV,4.953000E+02*GeV]],2.170600E-01*pb],
[[[5.625000E+02*GeV,4.903670E+02*GeV],[5.625000E+02*GeV,4.903670E+02*GeV]],2.300500E-01*pb],
[[[5.625000E+02*GeV,4.854330E+02*GeV],[5.625000E+02*GeV,4.854330E+02*GeV]],2.561900E-01*pb],
[[[5.750000E+02*GeV,5.750000E+02*GeV],[5.750000E+02*GeV,5.750000E+02*GeV]],1.900700E-01*pb],
[[[5.750000E+02*GeV,5.620670E+02*GeV],[5.750000E+02*GeV,5.620670E+02*GeV]],1.900700E-01*pb],
[[[5.750000E+02*GeV,5.571330E+02*GeV],[5.750000E+02*GeV,5.571330E+02*GeV]],1.838400E-01*pb],
[[[5.750000E+02*GeV,5.522000E+02*GeV],[5.750000E+02*GeV,5.522000E+02*GeV]],1.788000E-01*pb],
[[[5.750000E+02*GeV,5.472670E+02*GeV],[5.750000E+02*GeV,5.472670E+02*GeV]],1.793900E-01*pb],
[[[5.750000E+02*GeV,5.423330E+02*GeV],[5.750000E+02*GeV,5.423330E+02*GeV]],1.791200E-01*pb],
[[[5.750000E+02*GeV,5.374000E+02*GeV],[5.750000E+02*GeV,5.374000E+02*GeV]],1.780000E-01*pb],
[[[5.750000E+02*GeV,5.324670E+02*GeV],[5.750000E+02*GeV,5.324670E+02*GeV]],1.708800E-01*pb],
[[[5.750000E+02*GeV,5.275330E+02*GeV],[5.750000E+02*GeV,5.275330E+02*GeV]],1.796300E-01*pb],
[[[5.750000E+02*GeV,5.226000E+02*GeV],[5.750000E+02*GeV,5.226000E+02*GeV]],1.853000E-01*pb],
[[[5.750000E+02*GeV,5.176670E+02*GeV],[5.750000E+02*GeV,5.176670E+02*GeV]],1.925400E-01*pb],
[[[5.750000E+02*GeV,5.127330E+02*GeV],[5.750000E+02*GeV,5.127330E+02*GeV]],2.030300E-01*pb],
[[[5.750000E+02*GeV,5.078000E+02*GeV],[5.750000E+02*GeV,5.078000E+02*GeV]],2.100000E-01*pb],
[[[5.750000E+02*GeV,5.028670E+02*GeV],[5.750000E+02*GeV,5.028670E+02*GeV]],2.198800E-01*pb],
[[[5.750000E+02*GeV,4.979330E+02*GeV],[5.750000E+02*GeV,4.979330E+02*GeV]],2.486200E-01*pb],
[[[5.875000E+02*GeV,5.875000E+02*GeV],[5.875000E+02*GeV,5.875000E+02*GeV]],1.840400E-01*pb],
[[[5.875000E+02*GeV,5.745670E+02*GeV],[5.875000E+02*GeV,5.745670E+02*GeV]],1.840400E-01*pb],
[[[5.875000E+02*GeV,5.696330E+02*GeV],[5.875000E+02*GeV,5.696330E+02*GeV]],1.785300E-01*pb],
[[[5.875000E+02*GeV,5.647000E+02*GeV],[5.875000E+02*GeV,5.647000E+02*GeV]],1.737000E-01*pb],
[[[5.875000E+02*GeV,5.597670E+02*GeV],[5.875000E+02*GeV,5.597670E+02*GeV]],1.754400E-01*pb],
[[[5.875000E+02*GeV,5.548330E+02*GeV],[5.875000E+02*GeV,5.548330E+02*GeV]],1.756600E-01*pb],
[[[5.875000E+02*GeV,5.499000E+02*GeV],[5.875000E+02*GeV,5.499000E+02*GeV]],1.678900E-01*pb],
[[[5.875000E+02*GeV,5.449670E+02*GeV],[5.875000E+02*GeV,5.449670E+02*GeV]],1.606600E-01*pb],
[[[5.875000E+02*GeV,5.400330E+02*GeV],[5.875000E+02*GeV,5.400330E+02*GeV]],1.660000E-01*pb],
[[[5.875000E+02*GeV,5.351000E+02*GeV],[5.875000E+02*GeV,5.351000E+02*GeV]],1.747500E-01*pb],
[[[5.875000E+02*GeV,5.301670E+02*GeV],[5.875000E+02*GeV,5.301670E+02*GeV]],1.886300E-01*pb],
[[[5.875000E+02*GeV,5.252330E+02*GeV],[5.875000E+02*GeV,5.252330E+02*GeV]],1.991100E-01*pb],
[[[5.875000E+02*GeV,5.203000E+02*GeV],[5.875000E+02*GeV,5.203000E+02*GeV]],2.068200E-01*pb],
[[[5.875000E+02*GeV,5.153670E+02*GeV],[5.875000E+02*GeV,5.153670E+02*GeV]],2.136400E-01*pb],
[[[5.875000E+02*GeV,5.104330E+02*GeV],[5.875000E+02*GeV,5.104330E+02*GeV]],2.379500E-01*pb],
[[[6.000000E+02*GeV,6.000000E+02*GeV],[6.000000E+02*GeV,6.000000E+02*GeV]],1.788000E-01*pb],
[[[6.000000E+02*GeV,5.870670E+02*GeV],[6.000000E+02*GeV,5.870670E+02*GeV]],1.788000E-01*pb],
[[[6.000000E+02*GeV,5.821330E+02*GeV],[6.000000E+02*GeV,5.821330E+02*GeV]],1.731700E-01*pb],
[[[6.000000E+02*GeV,5.772000E+02*GeV],[6.000000E+02*GeV,5.772000E+02*GeV]],1.682600E-01*pb],
[[[6.000000E+02*GeV,5.722670E+02*GeV],[6.000000E+02*GeV,5.722670E+02*GeV]],1.719200E-01*pb],
[[[6.000000E+02*GeV,5.673330E+02*GeV],[6.000000E+02*GeV,5.673330E+02*GeV]],1.734600E-01*pb],
[[[6.000000E+02*GeV,5.624000E+02*GeV],[6.000000E+02*GeV,5.624000E+02*GeV]],1.650500E-01*pb],
[[[6.000000E+02*GeV,5.574670E+02*GeV],[6.000000E+02*GeV,5.574670E+02*GeV]],1.573300E-01*pb],
[[[6.000000E+02*GeV,5.525330E+02*GeV],[6.000000E+02*GeV,5.525330E+02*GeV]],1.581300E-01*pb],
[[[6.000000E+02*GeV,5.476000E+02*GeV],[6.000000E+02*GeV,5.476000E+02*GeV]],1.630300E-01*pb],
[[[6.000000E+02*GeV,5.426670E+02*GeV],[6.000000E+02*GeV,5.426670E+02*GeV]],1.810900E-01*pb],
[[[6.000000E+02*GeV,5.377330E+02*GeV],[6.000000E+02*GeV,5.377330E+02*GeV]],1.955300E-01*pb],
[[[6.000000E+02*GeV,5.328000E+02*GeV],[6.000000E+02*GeV,5.328000E+02*GeV]],2.040900E-01*pb],
[[[6.000000E+02*GeV,5.278670E+02*GeV],[6.000000E+02*GeV,5.278670E+02*GeV]],2.118100E-01*pb],
[[[6.000000E+02*GeV,5.229330E+02*GeV],[6.000000E+02*GeV,5.229330E+02*GeV]],2.273000E-01*pb],
[[[6.125000E+02*GeV,6.125000E+02*GeV],[6.125000E+02*GeV,6.125000E+02*GeV]],1.754300E-01*pb],
[[[6.125000E+02*GeV,5.995670E+02*GeV],[6.125000E+02*GeV,5.995670E+02*GeV]],1.754300E-01*pb],
[[[6.125000E+02*GeV,5.946330E+02*GeV],[6.125000E+02*GeV,5.946330E+02*GeV]],1.718500E-01*pb],
[[[6.125000E+02*GeV,5.897000E+02*GeV],[6.125000E+02*GeV,5.897000E+02*GeV]],1.659300E-01*pb],
[[[6.125000E+02*GeV,5.847670E+02*GeV],[6.125000E+02*GeV,5.847670E+02*GeV]],1.639200E-01*pb],
[[[6.125000E+02*GeV,5.798330E+02*GeV],[6.125000E+02*GeV,5.798330E+02*GeV]],1.674700E-01*pb],
[[[6.125000E+02*GeV,5.749000E+02*GeV],[6.125000E+02*GeV,5.749000E+02*GeV]],1.632500E-01*pb],
[[[6.125000E+02*GeV,5.699670E+02*GeV],[6.125000E+02*GeV,5.699670E+02*GeV]],1.549000E-01*pb],
[[[6.125000E+02*GeV,5.650330E+02*GeV],[6.125000E+02*GeV,5.650330E+02*GeV]],1.536200E-01*pb],
[[[6.125000E+02*GeV,5.601000E+02*GeV],[6.125000E+02*GeV,5.601000E+02*GeV]],1.544300E-01*pb],
[[[6.125000E+02*GeV,5.551670E+02*GeV],[6.125000E+02*GeV,5.551670E+02*GeV]],1.723900E-01*pb],
[[[6.125000E+02*GeV,5.502330E+02*GeV],[6.125000E+02*GeV,5.502330E+02*GeV]],1.887900E-01*pb],
[[[6.125000E+02*GeV,5.453000E+02*GeV],[6.125000E+02*GeV,5.453000E+02*GeV]],1.991100E-01*pb],
[[[6.125000E+02*GeV,5.403670E+02*GeV],[6.125000E+02*GeV,5.403670E+02*GeV]],2.075900E-01*pb],
[[[6.125000E+02*GeV,5.354330E+02*GeV],[6.125000E+02*GeV,5.354330E+02*GeV]],2.198900E-01*pb],
[[[6.250000E+02*GeV,6.250000E+02*GeV],[6.250000E+02*GeV,6.250000E+02*GeV]],1.729500E-01*pb],
[[[6.250000E+02*GeV,6.120670E+02*GeV],[6.250000E+02*GeV,6.120670E+02*GeV]],1.729500E-01*pb],
[[[6.250000E+02*GeV,6.071330E+02*GeV],[6.250000E+02*GeV,6.071330E+02*GeV]],1.725400E-01*pb],
[[[6.250000E+02*GeV,6.022000E+02*GeV],[6.250000E+02*GeV,6.022000E+02*GeV]],1.685400E-01*pb],
[[[6.250000E+02*GeV,5.972670E+02*GeV],[6.250000E+02*GeV,5.972670E+02*GeV]],1.587000E-01*pb],
[[[6.250000E+02*GeV,5.923330E+02*GeV],[6.250000E+02*GeV,5.923330E+02*GeV]],1.569300E-01*pb],
[[[6.250000E+02*GeV,5.874000E+02*GeV],[6.250000E+02*GeV,5.874000E+02*GeV]],1.579000E-01*pb],
[[[6.250000E+02*GeV,5.824670E+02*GeV],[6.250000E+02*GeV,5.824670E+02*GeV]],1.535000E-01*pb],
[[[6.250000E+02*GeV,5.775330E+02*GeV],[6.250000E+02*GeV,5.775330E+02*GeV]],1.499100E-01*pb],
[[[6.250000E+02*GeV,5.726000E+02*GeV],[6.250000E+02*GeV,5.726000E+02*GeV]],1.487400E-01*pb],
[[[6.250000E+02*GeV,5.676670E+02*GeV],[6.250000E+02*GeV,5.676670E+02*GeV]],1.650100E-01*pb],
[[[6.250000E+02*GeV,5.627330E+02*GeV],[6.250000E+02*GeV,5.627330E+02*GeV]],1.792000E-01*pb],
[[[6.250000E+02*GeV,5.578000E+02*GeV],[6.250000E+02*GeV,5.578000E+02*GeV]],1.910700E-01*pb],
[[[6.250000E+02*GeV,5.528670E+02*GeV],[6.250000E+02*GeV,5.528670E+02*GeV]],2.012000E-01*pb],
[[[6.250000E+02*GeV,5.479330E+02*GeV],[6.250000E+02*GeV,5.479330E+02*GeV]],2.105000E-01*pb],
[[[6.375000E+02*GeV,6.375000E+02*GeV],[6.375000E+02*GeV,6.375000E+02*GeV]],1.700200E-01*pb],
[[[6.375000E+02*GeV,6.245670E+02*GeV],[6.375000E+02*GeV,6.245670E+02*GeV]],1.700200E-01*pb],
[[[6.375000E+02*GeV,6.196330E+02*GeV],[6.375000E+02*GeV,6.196330E+02*GeV]],1.685600E-01*pb],
[[[6.375000E+02*GeV,6.147000E+02*GeV],[6.375000E+02*GeV,6.147000E+02*GeV]],1.679700E-01*pb],
[[[6.375000E+02*GeV,6.097670E+02*GeV],[6.375000E+02*GeV,6.097670E+02*GeV]],1.606300E-01*pb],
[[[6.375000E+02*GeV,6.048330E+02*GeV],[6.375000E+02*GeV,6.048330E+02*GeV]],1.512200E-01*pb],
[[[6.375000E+02*GeV,5.999000E+02*GeV],[6.375000E+02*GeV,5.999000E+02*GeV]],1.521900E-01*pb],
[[[6.375000E+02*GeV,5.949670E+02*GeV],[6.375000E+02*GeV,5.949670E+02*GeV]],1.507600E-01*pb],
[[[6.375000E+02*GeV,5.900330E+02*GeV],[6.375000E+02*GeV,5.900330E+02*GeV]],1.471600E-01*pb],
[[[6.375000E+02*GeV,5.851000E+02*GeV],[6.375000E+02*GeV,5.851000E+02*GeV]],1.469500E-01*pb],
[[[6.375000E+02*GeV,5.801670E+02*GeV],[6.375000E+02*GeV,5.801670E+02*GeV]],1.610000E-01*pb],
[[[6.375000E+02*GeV,5.752330E+02*GeV],[6.375000E+02*GeV,5.752330E+02*GeV]],1.711600E-01*pb],
[[[6.375000E+02*GeV,5.703000E+02*GeV],[6.375000E+02*GeV,5.703000E+02*GeV]],1.826300E-01*pb],
[[[6.375000E+02*GeV,5.653670E+02*GeV],[6.375000E+02*GeV,5.653670E+02*GeV]],1.920000E-01*pb],
[[[6.375000E+02*GeV,5.604330E+02*GeV],[6.375000E+02*GeV,5.604330E+02*GeV]],2.010900E-01*pb],
[[[6.500000E+02*GeV,6.500000E+02*GeV],[6.500000E+02*GeV,6.500000E+02*GeV]],1.671400E-01*pb],
[[[6.500000E+02*GeV,6.370670E+02*GeV],[6.500000E+02*GeV,6.370670E+02*GeV]],1.671400E-01*pb],
[[[6.500000E+02*GeV,6.321330E+02*GeV],[6.500000E+02*GeV,6.321330E+02*GeV]],1.637200E-01*pb],
[[[6.500000E+02*GeV,6.272000E+02*GeV],[6.500000E+02*GeV,6.272000E+02*GeV]],1.619100E-01*pb],
[[[6.500000E+02*GeV,6.222670E+02*GeV],[6.500000E+02*GeV,6.222670E+02*GeV]],1.587300E-01*pb],
[[[6.500000E+02*GeV,6.173330E+02*GeV],[6.500000E+02*GeV,6.173330E+02*GeV]],1.522100E-01*pb],
[[[6.500000E+02*GeV,6.124000E+02*GeV],[6.500000E+02*GeV,6.124000E+02*GeV]],1.504600E-01*pb],
[[[6.500000E+02*GeV,6.074670E+02*GeV],[6.500000E+02*GeV,6.074670E+02*GeV]],1.461500E-01*pb],
[[[6.500000E+02*GeV,6.025330E+02*GeV],[6.500000E+02*GeV,6.025330E+02*GeV]],1.463700E-01*pb],
[[[6.500000E+02*GeV,5.976000E+02*GeV],[6.500000E+02*GeV,5.976000E+02*GeV]],1.506400E-01*pb],
[[[6.500000E+02*GeV,5.926670E+02*GeV],[6.500000E+02*GeV,5.926670E+02*GeV]],1.601100E-01*pb],
[[[6.500000E+02*GeV,5.877330E+02*GeV],[6.500000E+02*GeV,5.877330E+02*GeV]],1.643100E-01*pb],
[[[6.500000E+02*GeV,5.828000E+02*GeV],[6.500000E+02*GeV,5.828000E+02*GeV]],1.730300E-01*pb],
[[[6.500000E+02*GeV,5.778670E+02*GeV],[6.500000E+02*GeV,5.778670E+02*GeV]],1.784200E-01*pb],
[[[6.500000E+02*GeV,5.729330E+02*GeV],[6.500000E+02*GeV,5.729330E+02*GeV]],1.976700E-01*pb],
[[[6.625000E+02*GeV,6.625000E+02*GeV],[6.625000E+02*GeV,6.625000E+02*GeV]],1.676300E-01*pb],
[[[6.625000E+02*GeV,6.495670E+02*GeV],[6.625000E+02*GeV,6.495670E+02*GeV]],1.676300E-01*pb],
[[[6.625000E+02*GeV,6.446330E+02*GeV],[6.625000E+02*GeV,6.446330E+02*GeV]],1.642200E-01*pb],
[[[6.625000E+02*GeV,6.397000E+02*GeV],[6.625000E+02*GeV,6.397000E+02*GeV]],1.579300E-01*pb],
[[[6.625000E+02*GeV,6.347670E+02*GeV],[6.625000E+02*GeV,6.347670E+02*GeV]],1.547500E-01*pb],
[[[6.625000E+02*GeV,6.298330E+02*GeV],[6.625000E+02*GeV,6.298330E+02*GeV]],1.500000E-01*pb],
[[[6.625000E+02*GeV,6.249000E+02*GeV],[6.625000E+02*GeV,6.249000E+02*GeV]],1.498700E-01*pb],
[[[6.625000E+02*GeV,6.199670E+02*GeV],[6.625000E+02*GeV,6.199670E+02*GeV]],1.456600E-01*pb],
[[[6.625000E+02*GeV,6.150330E+02*GeV],[6.625000E+02*GeV,6.150330E+02*GeV]],1.499200E-01*pb],
[[[6.625000E+02*GeV,6.101000E+02*GeV],[6.625000E+02*GeV,6.101000E+02*GeV]],1.498800E-01*pb],
[[[6.625000E+02*GeV,6.051670E+02*GeV],[6.625000E+02*GeV,6.051670E+02*GeV]],1.539600E-01*pb],
[[[6.625000E+02*GeV,6.002330E+02*GeV],[6.625000E+02*GeV,6.002330E+02*GeV]],1.547600E-01*pb],
[[[6.625000E+02*GeV,5.953000E+02*GeV],[6.625000E+02*GeV,5.953000E+02*GeV]],1.598000E-01*pb],
[[[6.625000E+02*GeV,5.903670E+02*GeV],[6.625000E+02*GeV,5.903670E+02*GeV]],1.698800E-01*pb],
[[[6.625000E+02*GeV,5.854330E+02*GeV],[6.625000E+02*GeV,5.854330E+02*GeV]],2.031200E-01*pb],
[[[6.750000E+02*GeV,6.750000E+02*GeV],[6.750000E+02*GeV,6.750000E+02*GeV]],1.715100E-01*pb],
[[[6.750000E+02*GeV,6.620670E+02*GeV],[6.750000E+02*GeV,6.620670E+02*GeV]],1.715100E-01*pb],
[[[6.750000E+02*GeV,6.571330E+02*GeV],[6.750000E+02*GeV,6.571330E+02*GeV]],1.649600E-01*pb],
[[[6.750000E+02*GeV,6.522000E+02*GeV],[6.750000E+02*GeV,6.522000E+02*GeV]],1.560300E-01*pb],
[[[6.750000E+02*GeV,6.472670E+02*GeV],[6.750000E+02*GeV,6.472670E+02*GeV]],1.508800E-01*pb],
